whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,headerZoom1.started,zoomSetupText1.started,joinAudio.started,instructContinue10.started,key_resp_26.started,key_resp_26.keys,key_resp_26.rt,zoomSetupText2.started,meetingControls.started,instructContinue11.started,key_resp_27.started,key_resp_27.keys,key_resp_27.rt,zoomSetupText3.started,microphoneImage.started,instructContinue12.started,key_resp_28.started,key_resp_28.keys,key_resp_28.rt,zoomSetupText4.started,recordToComp.started,instructContinue13.started,greenConfirmBar.started,key_resp_29.started,key_resp_29.keys,key_resp_29.rt,zoomSetupText5.started,hideControls.started,instructContinue14.started,key_resp_30.started,key_resp_30.keys,key_resp_30.rt,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,accuracy,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigFace_2.started,cover_background.started,task_centerImg.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.stopped,cover_background.stopped,bigFace_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,id,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-029-031-N.jpg,"[0.035, 0.035]",0,0,0,0,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.850701402805611,53.9687065994367,53.9687065994367,53.9687065994367,53.9687065994367,54.17865979950875,54.32887839991599,58.00625249929726,58.00625249929726,['k'],[0.4620184004306793],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LF-238-154-N.jpg,"[0.035, 0.035]",0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7895791583166334,58.00625249929726,58.00625249929726,58.00625249929726,58.00625249929726,58.21190229989588,58.36163579951972,62.006673499941826,62.006673499941826,['s'],[0.594637599773705],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IF-710-016-N.jpg,"[0.035, 0.035]",0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8657314629258517,62.006673499941826,62.006673499941826,62.006673499941826,62.006673499941826,62.21147250011563,62.36110319942236,66.06943009980023,66.06943009980023,['s'],[0.48786630015820265],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-617-174-N.jpg,"[0.035, 0.035]",0,0,0,0,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.812625250501002,66.06943009980023,66.06943009980023,66.06943009980023,66.06943009980023,66.27793100010604,66.42753019928932,70.07066889945418,70.07066889945418,['k'],[0.5401659002527595],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-024-015-N.jpg,"[0.035, 0.035]",0,0,0,0,0,9,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.758517034068136,70.07066889945418,70.07066889945418,70.07066889945418,70.07066889945418,70.27727029938251,70.42691399995238,74.0096870996058,74.0096870996058,['s'],[0.40756160020828247],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-244-003-N.jpg,"[0.035, 0.035]",0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5450901803607215,74.0096870996058,74.0096870996058,74.0096870996058,74.0096870996058,74.21006949990988,74.36013559997082,77.71950019989163,77.71950019989163,['s'],[0.5780076002702117],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-017-021-N.jpg,"[0.035, 0.035]",0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6072144288577155,77.71950019989163,77.71950019989163,77.71950019989163,77.71950019989163,77.9263762999326,78.07620089966804,81.48217500001192,81.48217500001192,['k'],[0.5377470003440976],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-230-150-N.jpg,"[0.035, 0.035]",0,0,0,0,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5691382765531063,81.48217500001192,81.48217500001192,81.48217500001192,81.48217500001192,81.69307469949126,81.84282819926739,85.2271408000961,85.2271408000961,['k'],[0.4191418010741472],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MF-330-001-N.jpg,"[0.035, 0.035]",0,0,0,0,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6492985971943885,85.2271408000961,85.2271408000961,85.2271408000961,85.2271408000961,85.44289040006697,85.59220789931715,89.06497150007635,89.06497150007635,['s'],[0.5108259003609419],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MM-308-001-N.jpg,"[0.035, 0.035]",0,0,0,0,0,14,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.920841683366733,89.06497150007635,89.06497150007635,89.06497150007635,89.06497150007635,89.2753789993003,89.42516160011292,93.14479559939355,93.14479559939355,['k'],[0.42220790032297373],1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-09_14h15.41.253,mini_mfe_online,2022.2.4,60.01849774403631,
