whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,headerZoom1.started,zoomSetupText1.started,joinAudio.started,instructContinue10.started,key_resp_26.started,key_resp_26.keys,key_resp_26.rt,zoomSetupText2.started,meetingControls.started,instructContinue11.started,key_resp_27.started,key_resp_27.keys,key_resp_27.rt,zoomSetupText3.started,microphoneImage.started,instructContinue12.started,key_resp_28.started,key_resp_28.keys,key_resp_28.rt,zoomSetupText4.started,recordToComp.started,instructContinue13.started,greenConfirmBar.started,key_resp_29.started,key_resp_29.keys,key_resp_29.rt,zoomSetupText5.started,hideControls.started,instructContinue14.started,key_resp_30.started,key_resp_30.keys,key_resp_30.rt,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,accuracy,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,id,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-017-021-N.jpg,"[0.035, 0.035]",0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8967935871743484,79.43058629985899,79.43058629985899,79.43058629985899,79.43058629985899,79.64006910007447,79.78966030012816,83.52284939959645,83.52284939959645,['k'],[0.5022007003426552],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-048-002-N.jpg,"[0.035, 0.035]",0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.513026052104208,83.52284939959645,83.52284939959645,83.52284939959645,83.52284939959645,83.72283019963652,83.87254809960723,87.21987900044769,87.21987900044769,['k'],[0.4288526000455022],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-617-174-N.jpg,"[0.035, 0.035]",0,0,0,0,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9539078156312626,87.21987900044769,87.21987900044769,87.21987900044769,87.21987900044769,87.42275530006737,87.57238390017301,91.3681306000799,91.3681306000799,['k'],[0.44936930015683174],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-250-157-N.jpg,"[0.035, 0.035]",0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8867735470941884,91.3681306000799,91.3681306000799,91.3681306000799,91.3681306000799,91.57236979994923,91.72181610018015,95.43084490019828,95.43084490019828,['s'],[0.4541413998231292],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-223-138-N.jpg,"[0.035, 0.035]",0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6783567134268536,95.43084490019828,95.43084490019828,95.43084490019828,95.43084490019828,95.63844850007445,95.78813510015607,99.30381680000573,99.30381680000573,['s'],[0.4904919005930424],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IF-710-016-N.jpg,"[0.035, 0.035]",0,0,0,0,0,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.811623246492986,99.30381680000573,99.30381680000573,99.30381680000573,99.30381680000573,99.50489309988916,99.65457039978355,103.3068997003138,103.3068997003138,['s'],[0.6509966002777219],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IF-644-306-1-N.jpg,"[0.035, 0.035]",0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9398797595190382,103.3068997003138,103.3068997003138,103.3068997003138,103.3068997003138,103.5211249999702,103.67083649989218,107.43411749973893,107.43411749973893,['k'],[0.49083840008825064],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-236-090-N.jpg,"[0.035, 0.035]",0,0,0,0,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9308617234468937,107.43411749973893,107.43411749973893,107.43411749973893,107.43411749973893,107.63723869994283,107.78700600005686,111.55076649971306,111.55076649971306,['s'],[0.4520993996411562],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-211-128-N.jpg,"[0.035, 0.035]",0,0,0,0,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5691382765531063,111.55076649971306,111.55076649971306,111.55076649971306,111.55076649971306,111.75336940027773,111.90327579993755,115.33370469976217,115.33370469976217,['k'],[0.40512439981102943],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-029-031-N.jpg,"[0.035, 0.035]",0,0,0,0,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9509018036072145,115.33370469976217,115.33370469976217,115.33370469976217,115.33370469976217,115.53635449986905,115.6862927004695,119.45231250021607,119.45231250021607,['k'],[0.452055299654603],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
